Factor_Strategy_RGX,Constraint_Type,Tatiana_Factor_Strategy,Tatiana_Category,
(?:^|\W)abilit[a-z]*,Human Capacity,Farming Experience,Individual AC,
(?:^|\W)able(?:$|\W),Human Capacity,Farming Experience,Individual AC,
(?:^|\W)age(?:$|\W),Human Capacity,Age,Individual AC,
(?:^|\W)agency[a-z]*(?:$|\W),Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)aging(?:$|\W),Human Capacity,Age,Individual AC,
(?:^|\W)anxiet[a-z]*,Psychological,Psychological Barriers,Psychological factors,
(?:^|\W)asset(?:$|\W),Economic&Financial,Assets,Individual AC,
(?:^|\W)autonom[a-z]*,Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)aware[a-z]*,Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)bank(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
(?:^|\W)bankrupt[a-z]*,Economic&Financial,Economic Factors,Individual AC,
(?:^|\W)belief(s|),Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)black,Human Capacity,Demographic Factors,Individual AC,
(?:^|\W)budd[a-z]*,Human Capacity,Demographic Factors,Individual AC,
(?:^|\W)cast(?:$|\W),Human Capacity,Demographic Factors,Individual AC,
(?:^|\W)child(?:$|\W),Human Capacity,Age,Individual AC,
(?:^|\W)child[a-z]*,Human Capacity,Demographic Factors,Individual AC,
(?:^|\W)collapse ,Tcca-Specific ,TCCA-specific ,TCCA-specific ,
(?:^|\W)confidence,Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)context(?:$|\W),Social&Cultural,Local Context,Individual AC,
(?:^|\W)cooperative [a-z]*,Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
(?:^|\W)cultur[a-z]*(?:$|\W),Social&Cultural,Cultural Social Norms,Institutional AC - Informal Institutions,
(?:^|\W)debt(s|),Economic&Financial,Access To Finance,Institutional AC - Formal Institutions,
(?:^|\W)denial(?:$|\W),Psychological,Psychological Barriers,Psychological factors,
(?:^|\W)desire(?:$|\W),Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)drastic,Tcca-Specific ,TCCA-specific ,TCCA-specific ,
(?:^|\W)elderly(?:$|\W),Human Capacity,Age,Individual AC,
(?:^|\W)famine,Hazard,Non-Climate Related Hazard,Hazard Experience,
(?:^|\W)father(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)fear[a-z]*(?:$|\W),Psychological,Psychological Drivers,Psychological factors,
(?:^|\W)female(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)friend,Social&Cultural,Social Capital,Institutional AC - Informal Institutions,
(?:^|\W)gender[a-z]*(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)girl[a-z]*(?:$|\W),Human Capacity,Gender,Individual AC,
(?:^|\W)health,Human Capacity,Health,Individual AC,
(?:^|\W)hunger,Human Capacity,Health,Individual AC,
